abstract-deque;0.3;"";"Data ";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\abstract-deque\abstract-deque-0.3\abstract-deque.cabal;array,base >=4 && <5,containers,random,time;Data.Concurrent.Deque.Class,Data.Concurrent.Deque.Debugger,Data.Concurrent.Deque.Reference,Data.Concurrent.Deque.Reference.DequeInstance;;
abstract-par;0.3.3;"Experimental";"Control,Parallelism,Monads";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\abstract-par\abstract-par-0.3.3\abstract-par.cabal;base >=4 && <5,deepseq >=1.1;Control.Monad.Par.Class,Control.Monad.Par.Unsafe;;
AC-Vector;2.3.2;"Experimental";"Data, Math, Numerical, Graphics";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\AC-Vector\AC-Vector-2.3.2\AC-Vector.cabal;base >=4 && <5;Data.BoundingBox.B1,Data.BoundingBox.B2,Data.BoundingBox.B3,Data.BoundingBox.B4,Data.BoundingBox.Range,Data.Vector.Class,Data.Vector.Transform.T1,Data.Vector.Transform.T2,Data.Vector.Transform.T3,Data.Vector.Transform.T4,Data.Vector.V1,Data.Vector.V2,Data.Vector.V3,Data.Vector.V4;.;
accelerate;0.15.0.0;"Experimental";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\accelerate\accelerate-0.15.0.0\accelerate.cabal;array >=0.3,base >=4.7 && <4.8,containers >=0.3,fclabels >=2.0,ghc-prim >=0.2,hashable >=1.1,hashtables >=1.0,pretty >=1.0,template-haskell >=2.9 && <2.10,unordered-containers >=0.2;Data.Array.Accelerate,Data.Array.Accelerate.AST,Data.Array.Accelerate.Analysis.Match,Data.Array.Accelerate.Analysis.Shape,Data.Array.Accelerate.Analysis.Stencil,Data.Array.Accelerate.Analysis.Type,Data.Array.Accelerate.Array.Data,Data.Array.Accelerate.Array.Representation,Data.Array.Accelerate.Array.Sugar,Data.Array.Accelerate.Data.Complex,Data.Array.Accelerate.Debug,Data.Array.Accelerate.Error,Data.Array.Accelerate.Interpreter,Data.Array.Accelerate.Language,Data.Array.Accelerate.Prelude,Data.Array.Accelerate.Pretty,Data.Array.Accelerate.Pretty.Print,Data.Array.Accelerate.Pretty.Traverse,Data.Array.Accelerate.Smart,Data.Array.Accelerate.Trafo,Data.Array.Accelerate.Trafo.Algebra,Data.Array.Accelerate.Trafo.Base,Data.Array.Accelerate.Trafo.Fusion,Data.Array.Accelerate.Trafo.Rewrite,Data.Array.Accelerate.Trafo.Sharing,Data.Array.Accelerate.Trafo.Shrink,Data.Array.Accelerate.Trafo.Simplify,Data.Array.Accelerate.Trafo.Substitution,Data.Array.Accelerate.Tuple,Data.Array.Accelerate.Type;;
ace;0.6;"";"Linguistics";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\ace\ace-0.6\ace.cabal;attoparsec >=0.10.4.0,base >=4 && <5,blaze-html >=0.5.1.0,blaze-markup >=0.5.2.0,data-default >=0.5.3,parsec >=3.1.5,text >=0.11.2.0;ACE,ACE.Combinators,ACE.Html,ACE.Parsers,ACE.Pretty,ACE.Tokenizer,ACE.Types.Pretty,ACE.Types.Syntax,ACE.Types.Tokens;src/;
action-permutations;0.0.0.1;"";"Control";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\action-permutations\action-permutations-0.0.0.1\action-permutations.cabal;base >=2 && <5;Control.Applicative.Permutation;;
active;0.1.0.17;"";"Data";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\active\active-0.1.0.17\active.cabal;array >=0.3 && <0.6,base >=4.0 && <4.8,newtype >=0.2 && <0.3,semigroupoids >=1.2 && <4.3,semigroups >=0.1 && <0.17,vector-space >=0.8 && <0.9;Data.Active;src;
ad;4.2.1.1;"Experimental";"Math";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\ad\ad-4.2.1.1\ad.cabal;array >=0.2 && <0.6,base >=4.5 && <5,comonad >=4 && <5,containers >=0.2 && <0.6,data-reify >=0.6 && <0.7,erf >=2.0 && <2.1,free >=4.6.1 && <5,nats >=0.1.2 && <2,reflection >=1.4 && <2,transformers >=0.3 && <0.5;Numeric.AD,Numeric.AD.Halley,Numeric.AD.Internal.Combinators,Numeric.AD.Internal.Dense,Numeric.AD.Internal.Forward,Numeric.AD.Internal.Forward.Double,Numeric.AD.Internal.Identity,Numeric.AD.Internal.Kahn,Numeric.AD.Internal.On,Numeric.AD.Internal.Or,Numeric.AD.Internal.Reverse,Numeric.AD.Internal.Sparse,Numeric.AD.Internal.Tower,Numeric.AD.Internal.Type,Numeric.AD.Jacobian,Numeric.AD.Jet,Numeric.AD.Mode,Numeric.AD.Mode.Forward,Numeric.AD.Mode.Forward.Double,Numeric.AD.Mode.Kahn,Numeric.AD.Mode.Reverse,Numeric.AD.Mode.Sparse,Numeric.AD.Mode.Tower,Numeric.AD.Newton,Numeric.AD.Rank1.Forward,Numeric.AD.Rank1.Forward.Double,Numeric.AD.Rank1.Halley,Numeric.AD.Rank1.Kahn,Numeric.AD.Rank1.Newton,Numeric.AD.Rank1.Sparse,Numeric.AD.Rank1.Tower;src;
adjunctions;4.2;"provisional";"Data Structures, Adjunctions";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\adjunctions\adjunctions-4.2\adjunctions.cabal;array >=0.3.0.2 && <0.7,base >=4 && <5,comonad >=4 && <5,containers >=0.3 && <0.6,contravariant >=1 && <2,distributive >=0.4 && <1,free >=4 && <5,mtl >=2.0.1 && <2.3,profunctors >=4 && <5,semigroupoids >=4 && <5,semigroups >=0.11 && <1,tagged >=0.7 && <1,transformers >=0.2 && <0.5,void >=0.5.5.1 && <1;Control.Comonad.Representable.Store,Control.Comonad.Trans.Adjoint,Control.Monad.Representable.Reader,Control.Monad.Representable.State,Control.Monad.Trans.Adjoint,Control.Monad.Trans.Contravariant.Adjoint,Control.Monad.Trans.Conts,Data.Functor.Adjunction,Data.Functor.Contravariant.Adjunction,Data.Functor.Contravariant.Rep,Data.Functor.Rep;src;
aeson;0.8.0.2;"experimental";"Text, Web, JSON";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\aeson\aeson-0.8.0.2\aeson.cabal;attoparsec >=0.11.3.4,base >=4 && <5,bytestring >=0.10.4.0,containers,deepseq,dlist >=0.2,ghc-prim >=0.2,hashable >=1.1.2.0,mtl,scientific >=0.3.1 && <0.4,syb,template-haskell >=2.4,text >=1.1.1.0,unordered-containers >=0.2.3.0,vector >=0.7.1;Data.Aeson,Data.Aeson.Encode,Data.Aeson.Encode.ByteString,Data.Aeson.Functions,Data.Aeson.Generic,Data.Aeson.Parser,Data.Aeson.Parser.Internal,Data.Aeson.TH,Data.Aeson.Types,Data.Aeson.Types.Class,Data.Aeson.Types.Generic,Data.Aeson.Types.Instances,Data.Aeson.Types.Internal;;
aeson-pretty;0.7.2;"experimental";"Text, Web, JSON, Pretty Printer";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\aeson-pretty\aeson-pretty-0.7.2\aeson-pretty.cabal;aeson >=0.7,base >=4.5,bytestring >=0.9,text >=0.11,unordered-containers >=0.1.3.0,vector >=0.9;Data.Aeson.Encode.Pretty;cli-tool;Main.hs
aeson-qq;0.7.4;"";"JSON";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\aeson-qq\aeson-qq-0.7.4\aeson-qq.cabal;aeson >=0.6,base >=4.5 && <5,haskell-src-meta >=0.1.0,parsec,template-haskell,text,vector;Data.Aeson.QQ,Data.JSON.QQ;src;
aeson-utils;0.2.2.1;"";"Data";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-0-7\aeson-utils\aeson-utils-0.2.2.1\aeson-utils.cabal;aeson >=0.6 && <0.8,attoparsec >=0.10 && <0.13,base >=4 && <5,bytestring >=0.9 && <0.11,scientific >=0.3.2 && <0.4,text >=0.11 && <1.2;Data.Aeson.Utils;src;
