gpolyline;0.1.0.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/gpolyline/gpolyline-0.1.0.1/gpolyline.cabal;Graphics;base,split;GPolyline;;
bson;0.3.2.3;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/bson/bson-0.3.2.3/bson.cabal;Data;base,binary,bytestring,cryptohash,data-binary-ieee754,mtl,network,text,time;Data.Bson,Data.Bson.Binary;;
codo-notation;0.5.2;experimental;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/codo-notation/codo-notation-0.5.2/codo-notation.cabal;Language;base,comonad,haskell-src-meta,parsec,template-haskell,uniplate;Language.Haskell.Codo;src;
slug;0.1.7;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/slug/slug-0.1.7/slug.cabal; Yesod,Web;QuickCheck,aeson,base,exceptions,http-api-data,path-pieces,persistent,text;Web.Slug;;
cryptonite-openssl;0.6;experimental;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/cryptonite-openssl/cryptonite-openssl-0.6/cryptonite-openssl.cabal;Cryptography;base,bytestring,cryptonite,memory;Crypto.OpenSSL,Crypto.OpenSSL.AES,Crypto.OpenSSL.AES.Foreign,Crypto.OpenSSL.ASN1,Crypto.OpenSSL.BN,Crypto.OpenSSL.BN.Foreign,Crypto.OpenSSL.ECC,Crypto.OpenSSL.ECC.Foreign,Crypto.OpenSSL.Misc,Crypto.OpenSSL.Random;;
websockets-rpc;0.4.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/websockets-rpc/websockets-rpc-0.4.0/websockets-rpc.cabal;Web;MonadRandom,QuickCheck,aeson,async,base,base,bytestring,containers,exceptions,hashable,monad-control,mtl,stm,text,transformers,unordered-containers,uuid,wai-transformers,websockets,websockets-rpc,websockets-simple;Network.WebSockets.RPC,Network.WebSockets.RPC.ACKable,Network.WebSockets.RPC.Trans.Client,Network.WebSockets.RPC.Trans.Server,Network.WebSockets.RPC.Types;example,src;Main.hs,Main-Client.hs
present;4.1.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/present/present-4.1.0/present.cabal;Development;base,template-haskell;Control.Monad.Trans.State.Strict,Present;src/;
persistent-mysql;2.6.2.1;Stable;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/persistent-mysql/persistent-mysql-2.6.2.1/persistent-mysql.cabal; Yesod,Database;aeson,base,blaze-builder,bytestring,conduit,containers,monad-control,monad-logger,mysql,mysql-simple,persistent,resource-pool,resourcet,text,transformers;Database.Persist.MySQL;;
base-compat;0.9.3;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/base-compat/base-compat-0.9.3/base-compat.cabal;Compatibility;base;Control.Concurrent.Compat,Control.Concurrent.MVar.Compat,Control.Monad.Compat,Control.Monad.ST.Lazy.Unsafe.Compat,Control.Monad.ST.Unsafe.Compat,Data.Bits.Compat,Data.Bool.Compat,Data.Complex.Compat,Data.Either.Compat,Data.Foldable.Compat,Data.Function.Compat,Data.Functor.Compat,Data.Functor.Const.Compat,Data.IORef.Compat,Data.List.Compat,Data.Monoid.Compat,Data.Proxy.Compat,Data.Ratio.Compat,Data.STRef.Compat,Data.String.Compat,Data.Type.Coercion.Compat,Data.Version.Compat,Data.Word.Compat,Debug.Trace.Compat,Foreign.Compat,Foreign.ForeignPtr.Compat,Foreign.ForeignPtr.Safe.Compat,Foreign.ForeignPtr.Unsafe.Compat,Foreign.Marshal.Alloc.Compat,Foreign.Marshal.Array.Compat,Foreign.Marshal.Compat,Foreign.Marshal.Safe.Compat,Foreign.Marshal.Unsafe.Compat,Foreign.Marshal.Utils.Compat,Numeric.Compat,Prelude.Compat,System.Environment.Compat,System.Exit.Compat,System.IO.Unsafe.Compat,Text.Read.Compat;src;
median-stream;0.7.0.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/median-stream/median-stream-0.7.0.0/median-stream.cabal;Data;base,heap;Data.MedianStream;src;
amazonka-support;1.4.5;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/amazonka-support/amazonka-support-1.4.5/amazonka-support.cabal; AWS, Cloud, Distributed Computing,Network;amazonka-core,base;Network.AWS.Support,Network.AWS.Support.AddAttachmentsToSet,Network.AWS.Support.AddCommunicationToCase,Network.AWS.Support.CreateCase,Network.AWS.Support.DescribeAttachment,Network.AWS.Support.DescribeCases,Network.AWS.Support.DescribeCommunications,Network.AWS.Support.DescribeServices,Network.AWS.Support.DescribeSeverityLevels,Network.AWS.Support.DescribeTrustedAdvisorCheckRefreshStatuses,Network.AWS.Support.DescribeTrustedAdvisorCheckResult,Network.AWS.Support.DescribeTrustedAdvisorCheckSummaries,Network.AWS.Support.DescribeTrustedAdvisorChecks,Network.AWS.Support.RefreshTrustedAdvisorCheck,Network.AWS.Support.ResolveCase,Network.AWS.Support.Types,Network.AWS.Support.Types.Product,Network.AWS.Support.Types.Sum,Network.AWS.Support.Waiters;gen,src;
ObjectName;1.1.0.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/ObjectName/ObjectName-1.1.0.1/ObjectName.cabal;Data;base,transformers;Data.ObjectName;src;
hmatrix-gsl;0.18.0.1;provisional;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/hmatrix-gsl/hmatrix-gsl-0.18.0.1/hmatrix-gsl.cabal;Math;array,base,hmatrix,process,random,vector;Graphics.Plot,Numeric.GSL,Numeric.GSL.Differentiation,Numeric.GSL.Fitting,Numeric.GSL.Fourier,Numeric.GSL.IO,Numeric.GSL.Integration,Numeric.GSL.Internal,Numeric.GSL.Interpolation,Numeric.GSL.LinearAlgebra,Numeric.GSL.Minimization,Numeric.GSL.ODE,Numeric.GSL.Polynomials,Numeric.GSL.Random,Numeric.GSL.Root,Numeric.GSL.SimulatedAnnealing,Numeric.GSL.Vector;src;
wai-app-static;3.1.6.1;Stable;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/wai-app-static/wai-app-static-3.1.6.1/wai-app-static.cabal; Yesod,Web;base,blaze-builder,blaze-html,blaze-markup,bytestring,containers,cryptonite,directory,directory,file-embed,filepath,http-date,http-types,memory,mime-types,old-locale,optparse-applicative,template-haskell,text,time,transformers,unix-compat,unordered-containers,wai,wai-app-static,wai-extra,warp,zlib;Network.Wai.Application.Static,Util,WaiAppStatic.CmdLine,WaiAppStatic.Listing,WaiAppStatic.Storage.Embedded,WaiAppStatic.Storage.Embedded.Runtime,WaiAppStatic.Storage.Embedded.TH,WaiAppStatic.Storage.Filesystem,WaiAppStatic.Types;app;warp-static.hs
pretty-simple;2.0.1.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/pretty-simple/pretty-simple-2.0.1.0/pretty-simple.cabal;Text;aeson,ansi-terminal,base,base,bytestring,containers,mtl,parsec,pretty-simple,text,text,transformers;Debug.Pretty.Simple,Example.Data,Text.Pretty.Simple,Text.Pretty.Simple.Internal,Text.Pretty.Simple.Internal.Color,Text.Pretty.Simple.Internal.Expr,Text.Pretty.Simple.Internal.ExprParser,Text.Pretty.Simple.Internal.ExprToOutput,Text.Pretty.Simple.Internal.Output,Text.Pretty.Simple.Internal.OutputPrinter;example,src;Example.hs,ExampleJSON.hs
jwt;0.7.2;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/jwt/jwt-0.7.2/jwt.cabal;Web;aeson,base,bytestring,containers,cryptonite,data-default,http-types,memory,network-uri,scientific,semigroups,text,time,unordered-containers,vector;Data.ByteString.Extended,Data.Text.Extended,Web.JWT;src;
HandsomeSoup;0.4.2;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/HandsomeSoup/HandsomeSoup-0.4.2/HandsomeSoup.cabal;Text;HTTP,HandsomeSoup,base,containers,hxt,hxt-http,mtl,parsec,transformers;Text.CSS.Parser,Text.CSS.Utils,Text.HandsomeSoup;examples,src;GoogleSearch.hs
comfort-graph;0.0.2.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/comfort-graph/comfort-graph-0.0.2.1/comfort-graph.cabal;Data;QuickCheck,base,containers,transformers,utility-ht;Data.Graph.Comfort,Data.Graph.Comfort.Map,Data.Graph.Comfort.TotalMap;src;
th-orphans;0.13.4;experimental;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/th-orphans/th-orphans-0.13.4/th-orphans.cabal;Template Haskell;base,mtl,template-haskell,th-lift,th-lift-instances,th-reify-many;Language.Haskell.TH.Instances;src;
nix-paths;1.0.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/nix-paths/nix-paths-1.0.1/nix-paths.cabal; Nix,Distribution;base,process;Nix.FindFile,Nix.Paths;src;
unix-compat;0.4.3.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/unix-compat/unix-compat-0.4.3.1/unix-compat.cabal;System;base;System.PosixCompat,System.PosixCompat.Extensions,System.PosixCompat.Files,System.PosixCompat.Temp,System.PosixCompat.Time,System.PosixCompat.Types,System.PosixCompat.Unistd,System.PosixCompat.User;src;
crypto-cipher-types;0.0.9;experimental;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-9.21/crypto-cipher-types/crypto-cipher-types-0.0.9/crypto-cipher-types.cabal;Cryptography;base,byteable,bytestring,securemem;Crypto.Cipher.Types,Crypto.Cipher.Types.AEAD,Crypto.Cipher.Types.Base,Crypto.Cipher.Types.Block,Crypto.Cipher.Types.BlockIO,Crypto.Cipher.Types.GF,Crypto.Cipher.Types.OfIO,Crypto.Cipher.Types.Stream,Crypto.Cipher.Types.Unsafe,Crypto.Cipher.Types.Utils;;
